948.5	160.5	1	0	0	0	0	0
948.5	160.5	1	1	54	0	0	0
948.5	160.5	1	2	99	0	22	46
948.5	160.5	1	3	100	0	0	22
880.25	268.25	1	0	129	0	68	0
880.25	268.25	1	1	142	0	0	0
880.25	268.25	1	2	130	45	69	0
880.25	268.25	1	3	118	0	71	69
884.5	190	1	0	61	0	70	68
884.5	190	1	1	97	0	68	44
884.5	190	1	2	52	0	66	67
884.5	190	1	3	108	0	45	72
873.25	148	1	0	84	0	0	51
873.25	148	1	1	33	0	45	0
873.25	148	1	2	104	0	67	68
873.25	148	1	3	111	0	71	45
870.5	64.25	1	0	70	0	44	24
870.5	64.25	1	1	63	0	0	0
870.5	64.25	1	2	98	0	48	25
870.5	64.25	1	3	92	0	0	22
698.5	237.75	1	0	34	0	100	72
698.5	237.75	1	1	40	0	23	22
698.5	237.75	1	2	37	24	96	68
698.5	237.75	1	3	70	0	101	78
649.75	306	1	0	85	0	79	58
649.75	306	1	1	63	0	0	52
649.75	306	1	2	103	48	50	72
649.75	306	1	3	85	45	52	73
685.25	96.5	1	0	48	0	23	52
685.25	96.5	1	1	63	0	0	53
685.25	96.5	1	2	88	0	0	76
685.25	96.5	1	3	22	0	77	77
644.75	158.25	1	0	50	0	48	55
644.75	158.25	1	1	56	0	31	34
644.75	158.25	1	2	66	49	31	59
644.75	158.25	1	3	90	23	66	56
645.75	10	1	0	0	0	75	71
645.75	10	1	1	54	0	0	78
645.75	10	1	2	55	0	22	74
645.75	10	1	3	77	0	22	70
599.75	111.5	1	0	76	23	80	100
599.75	111.5	1	1	76	0	58	106
599.75	111.5	1	2	60	0	105	100
599.75	111.5	1	3	80	48	98	91
570.5	256.75	1	0	100	75	101	101
570.5	256.75	1	1	95	0	58	45
570.5	256.75	1	2	90	0	89	77
570.5	256.75	1	3	83	80	111	67
410.25	233	1	0	78	77	26	93
410.25	233	1	1	95	75	34	103
410.25	233	1	2	60	94	83	50
410.25	233	1	3	76	90	70	80
413.75	103.5	1	0	84	47	102	87
413.75	103.5	1	1	64	77	103	100
413.75	103.5	1	2	91	48	52	68
413.75	103.5	1	3	74	72	96	86
341.25	247.5	1	0	52	63	53	58
341.25	247.5	1	1	56	50	29	89
341.25	247.5	1	2	74	68	55	73
341.25	247.5	1	3	50	102	70	70
376	163.25	1	0	51	85	62	27
376	163.25	1	1	27	50	31	34
376	163.25	1	2	88	71	91	32
376	163.25	1	3	83	52	102	32
361.5	11.5	1	0	0	0	44	67
361.5	11.5	1	1	0	0	25	47
361.5	11.5	1	2	0	23	47	76
361.5	11.5	1	3	0	23	73	0
246.25	246.5	1	0	0	99	83	22
246.25	246.5	1	1	80	94	48	73
246.25	246.5	1	2	57	113	44	67
246.25	246.5	1	3	45	105	74	44
332.75	92.5	1	0	72	79	54	51
332.75	92.5	1	1	53	47	47	84
332.75	92.5	1	2	81	94	69	22
332.75	92.5	1	3	69	85	55	67
168.25	301	1	0	49	94	45	47
168.25	301	1	1	0	78	46	23
168.25	301	1	2	0	80	0	45
168.25	301	1	3	0	53	22	45
241.75	90	1	0	22	73	85	70
241.75	90	1	1	24	58	48	44
241.75	90	1	2	21	92	69	67
241.75	90	1	3	0	99	22	71
150	195.75	1	0	0	99	49	0
150	195.75	1	1	24	109	51	0
150	195.75	1	2	0	128	22	69
150	195.75	1	3	0	128	44	67
141	123.25	1	0	45	101	70	22
141	123.25	1	1	46	96	46	44
141	123.25	1	2	0	69	22	0
141	123.25	1	3	22	104	22	0
58.5	157.25	1	0	0	91	22	0
58.5	157.25	1	1	0	75	21	0
58.5	157.25	1	2	0	104	0	0
58.5	157.25	1	3	0	91	0	0
48.5	113.75	2	0	0	71	46	67
48.5	113.75	2	1	0	70	57	21
48.5	113.75	2	2	0	75	53	70
48.5	113.75	2	3	0	89	48	69
186.75	71.25	2	0	0	51	26	75
186.75	71.25	2	1	0	0	65	92
186.75	71.25	2	2	0	45	0	68
186.75	71.25	2	3	0	70	63	76
65.25	217.75	2	0	0	88	87	68
65.25	217.75	2	1	0	79	32	72
65.25	217.75	2	2	0	81	0	76
65.25	217.75	2	3	0	90	53	69
285.75	78.25	2	0	0	0	33	95
285.75	78.25	2	1	0	0	40	103
285.75	78.25	2	2	0	22	73	88
285.75	78.25	2	3	0	0	70	73
186.5	246.25	2	0	0	22	28	81
186.5	246.25	2	1	0	23	24	90
186.5	246.25	2	2	0	45	53	77
186.5	246.25	2	3	0	50	47	72
329.5	177	2	0	22	0	90	103
329.5	177	2	1	25	0	110	95
329.5	177	2	2	23	0	104	94
329.5	177	2	3	0	0	82	101
288.5	244.75	2	0	0	81	74	93
288.5	244.75	2	1	0	0	36	96
288.5	244.75	2	2	0	72	57	76
288.5	244.75	2	3	24	79	65	81
396.75	281.75	2	0	71	23	60	70
396.75	281.75	2	1	57	0	42	83
396.75	281.75	2	2	0	0	55	74
396.75	281.75	2	3	47	0	59	94
498.25	96.5	2	0	22	0	116	113
498.25	96.5	2	1	0	0	54	110
498.25	96.5	2	2	22	0	70	103
498.25	96.5	2	3	0	0	118	93
656.75	177.75	2	0	67	0	61	85
656.75	177.75	2	1	22	0	67	92
656.75	177.75	2	2	47	0	58	78
656.75	177.75	2	3	26	0	68	75
712	78.75	2	0	22	0	46	109
712	78.75	2	1	0	0	73	99
712	78.75	2	2	48	0	68	114
712	78.75	2	3	0	0	106	124
708.75	246.75	2	0	45	0	46	97
708.75	246.75	2	1	23	0	52	72
708.75	246.75	2	2	73	0	51	93
708.75	246.75	2	3	73	0	98	107
807.75	71	2	0	0	0	23	33
807.75	71	2	1	23	0	24	34
807.75	71	2	2	46	0	27	32
807.75	71	2	3	0	0	92	37
807.25	253	2	0	72	0	59	85
807.25	253	2	1	53	0	24	85
807.25	253	2	2	44	0	44	92
807.25	253	2	3	52	0	30	101
938.75	108	2	0	0	0	46	95
938.75	108	2	1	47	0	21	86
938.75	108	2	2	68	0	46	92
938.75	108	2	3	0	0	0	95
941.5	233.5	2	0	72	0	45	76
941.5	233.5	2	1	54	0	49	72
941.5	233.5	2	2	81	0	26	85
941.5	233.5	2	3	92	0	86	93
